"Symbol";"Value";"Unit";
"shortdscr";"7200 BEP";"";
"trag_stat";"3.35";"";
"customs";"84821010";"";
"SUPPLIER";"MÄDLER GmbH";"";
"TraceParts.PartVersion";"1.0.9";"";
"eclass";"23-05-08-03";"";
"weight";"30";"";
"pu";"0.14";"";
"type";"basic";"";
"nr";"30000";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"SKF angular contact ball bearing 7200 BEP, single row, inner Ø 10mm, outer Ø 30mm, width 9mm";"";
"TraceParts.InstanceId";"90-12032024-0443392N3XX9WWY2MK673V115V3T3RA";"";
"TraceParts.PartTitle";"Angular Contact Ball Bearings SKF ®, Single Row, inner diameter 10 - 30 mm";"";
"n";"30000";"";
"TraceParts.PartNumber";"90-12032024-044339";"";
"REFERENCE";"64771001";"";
"b";"9";"";
"d";"30";"";
"TRACEPARTS";"TRACEPARTS";"";
"dd";"10";"";
"trag_dyn";"7.02";"";
