"Symbol";"Value";"Unit";
"REFERENCE";"1204";"";
"MATERIAL";"acier";"";
"SUPPLIER";"ecmu csr";"";
"TraceParts.PartLanguage";"fr";"";
"TraceParts.PartVersion";"1.1.7";"";
"TraceParts.PartNumber";"90-26102021-037938";"";
"De";"47";"";
"P";"sans";"";
"type4";"non";"";
"DESIGN";"roulement à rotule sur billes, alésage cylindrique";"";
"type2";"cylindrique";"";
"type3";"rotulant";"";
"type1";"2";"";
"TraceParts.PartTitle";"1200";"";
"d";"20";"";
"TRACEPARTS";"TRACEPARTS";"";
"B";"14";"";
"TraceParts.InstanceId";"90-26102021-0379382N3XX9WWY2MK673V115V3T3RA";"";
