"Symbol";"Value";"Unit";
"REFERENCE";"16-280-32-4-10";"";
"attr_928ECE454573E2A9142384ABB5";"6";"";
"attr_B82BEC1459EBBCCBEEA91EC03F";"12";"";
"SUPPLIER";"EMILE MAURIN";"";
"attr_4C9DD86CA85F73BAA0D57FBBAD";"16,5";"";
"attr_BB1DF8A8F17EEB00320465396D";"10";"";
"TraceParts.PartNumber";"90-02012026-053049";"";
"TraceParts.PartLanguage";"fr";"";
"DESIGN";"16-28 VIS PAPILLON TECHNOPOLYMÈRE À TIGE FILETÉE ACIER OU INOX - 16-280-32-4-10";"";
"attr_8F3B2DDB0A023CEA370792160E";"3,5";"";
"attr_FF7DD181ACA71F66AB4DFD48F1";"32";"";
"TraceParts.PartTitle";"16-28 VIS PAPILLON TECHNOPOLYMÈRE À TIGE FILETÉE ACIER OU INOX";"";
"attr_C869CA44DA262F88983A046F03";"M4";"";
"TraceParts.PartVersion";"1.0.4";"";
"TRACEPARTS";"TRACEPARTS";"";
"attr_A6A35B1988FD5E1DCECEB3CBEB";"Acier";"";
"TraceParts.InstanceId";"90-02012026-0530495GEYEQ4N67IYXLS2S9Q46SB8W";"";
