"Symbol";"Value";"Unit";
"Dynamic_Load_Capacity";"2680 lbf";"";
"Number_of_Rows";"1";"";
"Bearing_Type";"Ball Bearing";"";
"Series";"RBC Airframe Bearing - KP Series";"";
"Weight";"0.06 lbs";"";
"Manufacturer_UPC_Number";"637400552053";"";
"SUPPLIER_NAME";"Motion Industries";"";
"SUPPLIER";"RBC Bearings";"";
"Inner_Ring_Width";"0.4840 in";"";
"REFERENCE";"KP4FS428";"";
"TraceParts.PartTitle";"Airframe Control Ball Bearing, KP4FS428";"";
"TraceParts.PartNumber";"90-15012022-051023";"";
"Standards_Met";"SAE-AS27640";"";
"Bearing_Material";"52100 Bearing Quality Steel";"";
"Motion_Internal_Description";"KP 4 FS428  (BACB10BY4) ACFT BRG";"";
"DESIGN";"Airframe Control Ball Bearing, 0.2500 in Bore, 0.9014 in  OD, Double Sealed";"";
"Precision_Rating";"Not Rated";"";
"Outside_Diameter";"0.9014 in";"";
"Finish_Coating";"Cadmium Plated";"";
"TraceParts.PartVersion";"1.0.0";"";
"Outer_Ring_Width";"0.3350 in";"";
"Maximum_RPM";"500 rpm";"";
"Part_Number_EShop_URL";"https://www.motionindustries.com/products/sku/02462141";"";
"Internal_Clearance";"C0";"";
"Static_Load_Capacity";"2680 lbf";"";
"Closure_Type";"Double Sealed";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.InstanceId";"90-15012022-05102378P2ST6ENTHNY6M228NL8S6AD";"";
"Row_Type_Fill_Slot";"Single Row Non-Fill Slot";"";
"Cage_Material";"No Cage";"";
"Overall_Width";"0.4840 in";"";
"Bore_Diameter";"0.2500 in";"";
"TraceParts.PartLanguage";"en";"";
"SUPPLIER_PART_NUMBER";"02462141";"";
