"Symbol";"Value";"Unit";
"REFERENCE";"16-140-20-4-6";"";
"attr_928ECE454573E2A9142384ABB5";"9,5";"";
"TraceParts.PartVersion";"1.0.4";"";
"SUPPLIER";"EMILE MAURIN";"";
"attr_4C9DD86CA85F73BAA0D57FBBAD";"11";"";
"attr_BB1DF8A8F17EEB00320465396D";"6";"";
"TraceParts.PartNumber";"90-03012026-019588";"";
"attr_3BCF470E5E7A3E72450AF4FDD5";"Acier";"";
"TraceParts.PartLanguage";"fr";"";
"DESIGN";"16-14 VIS PAPILLON TECHNOPOLYMÈRE À TIGE FILETÉE ACIER OU INOX - 16-140-20-4-6";"";
"TraceParts.InstanceId";"90-03012026-0195885GEYEQ4N67IYXLS2S9Q46SB8W";"";
"attr_FF7DD181ACA71F66AB4DFD48F1";"20";"";
"TraceParts.PartTitle";"16-14 VIS PAPILLON TECHNOPOLYMÈRE À TIGE FILETÉE ACIER OU INOX";"";
"attr_C869CA44DA262F88983A046F03";"M4";"";
"attr_C2456A7BA5127649E1BC9AFCCF";"6";"";
"TRACEPARTS";"TRACEPARTS";"";
